,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,34,0.2490974729235817,669,0.1383975026014568,1,3,0.13577586206896552,1,1184,4,1,97,2,2,0.06870368828064846,1,0,5343,25755,0,1,0,20,4,3,80,0,14,3,3,13,9,4,9
1,35,0.14956855225311602,1224,0.2062780269058296,7,4,0.14686468646864687,1,1962,3,0,55,3,2,0.17484662576687046,4,1,5204,13586,1,1,1,11,3,4,80,0,10,2,3,10,8,0,9
2,46,0.14956855225311602,1277,0.2062780269058296,2,3,0.14686468646864687,1,1732,3,1,74,3,3,0.17484662576687046,4,2,10368,5596,4,1,1,12,3,2,80,1,13,5,2,10,6,0,3
3,35,0.14956855225311602,660,0.2062780269058296,7,1,0.14686468646864687,1,1492,4,1,76,3,1,0.3971571172349599,3,1,2404,16192,1,1,0,13,3,1,80,1,1,3,3,1,0,0,0
4,26,0.2490974729235817,342,0.1383975026014568,2,3,0.14686468646864687,1,1053,1,1,57,3,1,0.16095890410958943,1,1,2042,15346,6,1,1,14,3,2,80,1,6,2,3,3,2,1,2
5,59,0.14956855225311602,1089,0.2062780269058296,1,2,0.24242313209808733,1,1048,2,1,66,3,3,0.04905041685272943,4,1,11904,11038,3,1,1,14,3,3,80,1,14,1,1,6,4,0,4
6,33,0.14956855225311602,211,0.2062780269058296,16,3,0.14686468646864687,1,1758,1,0,74,3,3,0.17484662576687046,1,0,8564,10092,2,1,1,20,4,3,80,0,11,2,2,0,0,0,0
7,32,0.14956855225311602,499,0.2062780269058296,2,1,0.22012573203437844,1,1396,3,1,36,3,2,0.17484662576687046,2,1,4078,20497,0,1,1,13,3,1,80,3,4,3,2,3,2,1,2
8,30,0.14956855225311602,438,0.1383975026014568,18,3,0.14686468646864687,1,194,1,0,75,3,1,0.16095890410958943,3,0,2632,23910,1,1,0,14,3,3,80,0,5,4,2,5,4,0,4
9,42,0.2490974729235817,933,0.1383975026014568,19,3,0.13577586206896552,1,752,3,1,57,4,1,0.16095890410958943,3,2,2759,20366,6,1,1,12,3,4,80,0,7,2,3,2,2,2,2
10,44,0.14956855225311602,1112,0.19008460036286423,1,4,0.14686468646864687,1,665,1,0,50,2,2,0.22804546072229726,3,0,5985,26894,4,1,0,11,3,2,80,0,10,1,4,2,2,0,2
